family,source_rows,proposed_product_title,options_json,status
tiger forest wood per piece,5,Tiger Forest Wood Per Piece,"[{""source_title"":""Tiger Forest Wood X-Large per piece"",""proposed_option"":""Large"",""cost_plus_gst"":""56.65"",""markdown_plus_gst"":""43.60"",""source_url"":""https://daluawholesale.com.au/product/tiger-forest-x-large-per-piece/"",""image_url"":""https://daluawholesale.com.au/wp-content/uploads/2024/01/Untitled-design-47.png""},{""source_title"":""Tiger Forest Wood Large per piece"",""proposed_option"":""Large"",""cost_plus_gst"":""27.83"",""markdown_plus_gst"":""21.41"",""source_url"":""https://daluawholesale.com.au/product/tiger-forest-large-per-piece/"",""image_url"":""https://daluawholesale.com.au/wp-content/uploads/2024/01/Untitled-design-47.png""},{""source_title"":""Tiger Forest Wood Medium per piece"",""proposed_option"":""Medium"",""cost_plus_gst"":""14.26"",""markdown_plus_gst"":""10.97"",""source_url"":""https://daluawholesale.com.au/product/tiger-forest-medium-per-piece/"",""image_url"":""https://daluawholesale.com.au/wp-content/uploads/2024/01/Untitled-design-47.png""},{""source_title"":""Tiger Forest Wood Small per piece"",""proposed_option"":""Small"",""cost_plus_gst"":""7.40"",""markdown_plus_gst"":""5.92"",""source_url"":""https://daluawholesale.com.au/product/tiger-forest-small-per-piece/"",""image_url"":""https://daluawholesale.com.au/wp-content/uploads/2024/01/Untitled-design-47.png""},{""source_title"":""Tiger Forest Wood X-Small per piece"",""proposed_option"":""Small"",""cost_plus_gst"":""4.74"",""markdown_plus_gst"":""3.80"",""source_url"":""https://daluawholesale.com.au/product/tiger-forest-x-small-per-piece/"",""image_url"":""https://daluawholesale.com.au/wp-content/uploads/2024/01/Untitled-design-47.png""}]",safe_for_shopify_duplicate_audit
water softener fx,2,Water Softener Fx,"[{""source_title"":""WATER SOFTENER FX 250mL"",""proposed_option"":""250mL"",""cost_plus_gst"":""30.59"",""markdown_plus_gst"":""24.48"",""source_url"":""https://daluawholesale.com.au/product/water-softener-fx-250ml/"",""image_url"":""https://daluawholesale.com.au/wp-content/uploads/2021/06/soft_web_800x.jpg""},{""source_title"":""WATER SOFTENER FX 500mL"",""proposed_option"":""500mL"",""cost_plus_gst"":""44.69"",""markdown_plus_gst"":""35.75"",""source_url"":""https://daluawholesale.com.au/product/water-softener-fx-500ml/"",""image_url"":""https://daluawholesale.com.au/wp-content/uploads/2021/06/soft_web_800x.jpg""}]",safe_for_shopify_duplicate_audit
wio allure riverbed,2,Wio Allure Riverbed,"[{""source_title"":""WIO Black Allure Riverbed 5kg"",""proposed_option"":""5kg / Black"",""cost_plus_gst"":""51.30"",""markdown_plus_gst"":""38.48"",""source_url"":""https://daluawholesale.com.au/product/wio-black-allure-riverbed-5kg/"",""image_url"":""https://daluawholesale.com.au/wp-content/uploads/2025/01/5f6902_f84a4f2da98e4f05b14d74f24d54f4b5mv2.webp""},{""source_title"":""WIO Black Allure Riverbed 2kg"",""proposed_option"":""2kg / Black"",""cost_plus_gst"":""26.66"",""markdown_plus_gst"":""20.00"",""source_url"":""https://daluawholesale.com.au/product/wio-black-allure-riverbed-2kg/"",""image_url"":""https://daluawholesale.com.au/wp-content/uploads/2025/01/5f6902_f84a4f2da98e4f05b14d74f24d54f4b5mv2.webp""}]",safe_for_shopify_duplicate_audit
wio dark artist florabed,2,Wio Dark Artist Florabed,"[{""source_title"":""WIO Dark Artist Florabed 1.5kg"",""proposed_option"":""1.5kg"",""cost_plus_gst"":""19.99"",""markdown_plus_gst"":""14.99"",""source_url"":""https://daluawholesale.com.au/product/wio-dark-artist-florabed-set-1-5kg/"",""image_url"":""https://daluawholesale.com.au/wp-content/uploads/2025/01/5f6902_3ca0b6f165f54263b697ea61ba1ffcbdmv2.webp""},{""source_title"":""WIO Dark Artist Florabed 3kg"",""proposed_option"":""3kg"",""cost_plus_gst"":""36.64"",""markdown_plus_gst"":""27.48"",""source_url"":""https://daluawholesale.com.au/product/wio-dark-artist-wetland-6-2kg/"",""image_url"":""https://daluawholesale.com.au/wp-content/uploads/2025/01/5f6902_3ca0b6f165f54263b697ea61ba1ffcbdmv2.webp""}]",safe_for_shopify_duplicate_audit
wio dusk riverbed,2,Wio Dusk Riverbed,"[{""source_title"":""WIO Red Dusk Riverbed 3kg"",""proposed_option"":""3kg / Red"",""cost_plus_gst"":""51.30"",""markdown_plus_gst"":""38.48"",""source_url"":""https://daluawholesale.com.au/product/wio-red-dusk-riverbed-3kg/"",""image_url"":""https://daluawholesale.com.au/wp-content/uploads/2025/01/5f6902_6556c9e0198148c595a4dc658eb5513cmv2.webp""},{""source_title"":""WIO Red Dusk Riverbed 1.5kg"",""proposed_option"":""1.5kg / Red"",""cost_plus_gst"":""26.66"",""markdown_plus_gst"":""20.00"",""source_url"":""https://daluawholesale.com.au/product/wio-red-dusk-riverbed-1-5kg/"",""image_url"":""https://daluawholesale.com.au/wp-content/uploads/2025/01/5f6902_6556c9e0198148c595a4dc658eb5513cmv2.webp""}]",safe_for_shopify_duplicate_audit
wio emerald sand,2,Wio Emerald Sand,"[{""source_title"":""WIO Emerald Sand 5kg"",""proposed_option"":""5kg"",""cost_plus_gst"":""29.30"",""markdown_plus_gst"":""21.98"",""source_url"":""https://daluawholesale.com.au/product/wio-emerald-sand-5kg/"",""image_url"":""https://daluawholesale.com.au/wp-content/uploads/2025/01/5f6902_fb8219dee0bf4aa4a898a01fe874d323mv2.webp""},{""source_title"":""WIO Emerald Sand 2kg"",""proposed_option"":""2kg"",""cost_plus_gst"":""16.64"",""markdown_plus_gst"":""12.49"",""source_url"":""https://daluawholesale.com.au/product/wio-emerald-sand-2kg/"",""image_url"":""https://daluawholesale.com.au/wp-content/uploads/2025/01/5f6902_fb8219dee0bf4aa4a898a01fe874d323mv2.webp""}]",safe_for_shopify_duplicate_audit
wio eonian artist fine florabed,2,Wio Eonian Artist Fine Florabed,"[{""source_title"":""WIO Black Eonian Artist ** Fine ** Florabed 1.5kg"",""proposed_option"":""1.5kg / Black / Fine"",""cost_plus_gst"":""21.99"",""markdown_plus_gst"":""16.49"",""source_url"":""https://daluawholesale.com.au/product/wio-black-eonian-artist-fine-florabed-1-5kg/"",""image_url"":""https://daluawholesale.com.au/wp-content/uploads/2025/10/WIO-EonianBlack1.webp""},{""source_title"":""WIO Red Eonian Artist ** Fine ** Florabed 1.5kg"",""proposed_option"":""1.5kg / Red / Fine"",""cost_plus_gst"":""21.99"",""markdown_plus_gst"":""16.49"",""source_url"":""https://daluawholesale.com.au/product/wio-red-eonian-artist-fine-florabed-1-5kg/"",""image_url"":""https://daluawholesale.com.au/wp-content/uploads/2025/10/WIO-EonianRed1.webp""}]",safe_for_shopify_duplicate_audit
wio eonian artist florabed,3,Wio Eonian Artist Florabed,"[{""source_title"":""WIO Black Eonian Artist Florabed 1.5kg"",""proposed_option"":""1.5kg / Black"",""cost_plus_gst"":""19.99"",""markdown_plus_gst"":""14.99"",""source_url"":""https://daluawholesale.com.au/product/wio-black-eonian-artist-florabed-1-5kg/"",""image_url"":""https://daluawholesale.com.au/wp-content/uploads/2025/10/WIO-EonianBlack1.webp""},{""source_title"":""WIO Red Eonian Artist Florabed 3kg"",""proposed_option"":""3kg / Red"",""cost_plus_gst"":""36.64"",""markdown_plus_gst"":""27.48"",""source_url"":""https://daluawholesale.com.au/product/wio-red-eonian-artist-florabed-3kg/"",""image_url"":""https://daluawholesale.com.au/wp-content/uploads/2025/10/WIO-EonianRed.webp""},{""source_title"":""WIO Red Eonian Artist Florabed 1.5kg"",""proposed_option"":""1.5kg / Red"",""cost_plus_gst"":""19.99"",""markdown_plus_gst"":""14.99"",""source_url"":""https://daluawholesale.com.au/product/wio-eonian-artist-florabed-1-5kg/"",""image_url"":""https://daluawholesale.com.au/wp-content/uploads/2025/10/WIO-EonianRed1.webp""}]",safe_for_shopify_duplicate_audit
wio golden hour riverbed,2,Wio Golden Hour Riverbed,"[{""source_title"":""WIO Golden Hour Riverbed 2kg"",""proposed_option"":""2kg"",""cost_plus_gst"":""26.66"",""markdown_plus_gst"":""20.00"",""source_url"":""https://daluawholesale.com.au/product/wio-golden-hour-riverbed-2kg/"",""image_url"":""https://daluawholesale.com.au/wp-content/uploads/2025/01/wio_riverbeds_elderly_detail.png""},{""source_title"":""WIO Golden Hour Riverbed 5kg"",""proposed_option"":""5kg"",""cost_plus_gst"":""51.30"",""markdown_plus_gst"":""38.48"",""source_url"":""https://daluawholesale.com.au/product/wio-golden-hour-riverbed-5kg/"",""image_url"":""https://daluawholesale.com.au/wp-content/uploads/2025/01/wio_riverbeds_elderly_detail.png""}]",safe_for_shopify_duplicate_audit
wio jade bliss river bed,2,Wio Jade Bliss River Bed,"[{""source_title"":""WIO Jade Bliss River Bed 5kg"",""proposed_option"":""5kg"",""cost_plus_gst"":""51.30"",""markdown_plus_gst"":""38.48"",""source_url"":""https://daluawholesale.com.au/product/wio-jade-bliss-river-bed-5kg/"",""image_url"":""https://daluawholesale.com.au/wp-content/uploads/2025/01/5f6902_f84a4f2da98e4f05b14d74f24d54f4b5mv2.webp""},{""source_title"":""WIO Jade Bliss River Bed 2kg"",""proposed_option"":""2kg"",""cost_plus_gst"":""26.66"",""markdown_plus_gst"":""20.00"",""source_url"":""https://daluawholesale.com.au/product/wio-jade-bliss-river-bed-2kg/"",""image_url"":""https://daluawholesale.com.au/wp-content/uploads/2025/01/5f6902_f84a4f2da98e4f05b14d74f24d54f4b5mv2.webp""}]",safe_for_shopify_duplicate_audit
wio midnight veil riverbed,2,Wio Midnight Veil Riverbed,"[{""source_title"":""WIO Midnight Veil Riverbed 1.5kg"",""proposed_option"":""1.5kg"",""cost_plus_gst"":""26.66"",""markdown_plus_gst"":""20.00"",""source_url"":""https://daluawholesale.com.au/product/wio-midnight-veil-riverbed-1-5kg/"",""image_url"":""https://daluawholesale.com.au/wp-content/uploads/2025/01/5f6902_ee4d980ea8d045cfa1947c3302052cfbmv2-1.webp""},{""source_title"":""WIO Midnight Veil Riverbed 3kg"",""proposed_option"":""3kg"",""cost_plus_gst"":""51.30"",""markdown_plus_gst"":""38.48"",""source_url"":""https://daluawholesale.com.au/product/wio-midnight-veil-riverbed-3kg/"",""image_url"":""https://daluawholesale.com.au/wp-content/uploads/2025/01/5f6902_ee4d980ea8d045cfa1947c3302052cfbmv2-1.webp""}]",safe_for_shopify_duplicate_audit
wio mustard artist florabed,2,Wio Mustard Artist Florabed,"[{""source_title"":""WIO Mustard Artist Florabed 3kg"",""proposed_option"":""3kg"",""cost_plus_gst"":""40.30"",""markdown_plus_gst"":""30.23"",""source_url"":""https://daluawholesale.com.au/product/wio-mustard-artist-florabed-3kg/"",""image_url"":""https://daluawholesale.com.au/wp-content/uploads/2025/10/WIO-ArtistMustard2.webp""},{""source_title"":""WIO Mustard Artist Florabed 1.5kg"",""proposed_option"":""1.5kg"",""cost_plus_gst"":""21.99"",""markdown_plus_gst"":""16.49"",""source_url"":""https://daluawholesale.com.au/product/wio-mustard-artist-florabed-1-5kg/"",""image_url"":""https://daluawholesale.com.au/wp-content/uploads/2025/10/WIO-ArtistMustard2.webp""}]",safe_for_shopify_duplicate_audit
wio mustard artist florabed fine,2,Wio Mustard Artist Florabed Fine,"[{""source_title"":""WIO Mustard Artist Florabed *Fine* 3kg"",""proposed_option"":""3kg / Fine"",""cost_plus_gst"":""26.75"",""markdown_plus_gst"":""20.06"",""source_url"":""https://daluawholesale.com.au/product/wio-mustard-artist-florabed-fine-3kg/"",""image_url"":""https://daluawholesale.com.au/wp-content/uploads/2025/10/mustard-fine-soil.png""},{""source_title"":""WIO Mustard Artist Florabed **Fine** 1.5kg"",""proposed_option"":""1.5kg / Fine"",""cost_plus_gst"":""21.99"",""markdown_plus_gst"":""16.49"",""source_url"":""https://daluawholesale.com.au/product/wio-mustard-artist-florabed-fine-1-5kg-copy/"",""image_url"":""https://daluawholesale.com.au/wp-content/uploads/2025/10/mustard-fine-soil.png""}]",safe_for_shopify_duplicate_audit
wio powervol,2,Wio Powervol,"[{""source_title"":""WIO Powervol 5kg"",""proposed_option"":""5kg"",""cost_plus_gst"":""31.58"",""markdown_plus_gst"":""23.68"",""source_url"":""https://daluawholesale.com.au/product/wio-powervol-5kg/"",""image_url"":""https://daluawholesale.com.au/wp-content/uploads/2025/01/5f6902_953a2ce7437543de9a22aafc8fda3137mv2.webp""},{""source_title"":""WIO Powervol 2kg"",""proposed_option"":""2kg"",""cost_plus_gst"":""15.41"",""markdown_plus_gst"":""11.56"",""source_url"":""https://daluawholesale.com.au/product/wio-powervol-2kg/"",""image_url"":""https://daluawholesale.com.au/wp-content/uploads/2025/01/5f6902_953a2ce7437543de9a22aafc8fda3137mv2.webp""}]",safe_for_shopify_duplicate_audit
wio scapeglue,5,Wio Scapeglue,"[{""source_title"":""WIO Scapeglue (Black)"",""proposed_option"":""Black"",""cost_plus_gst"":""24.60"",""markdown_plus_gst"":""19.65"",""source_url"":""https://daluawholesale.com.au/product/wio-scapeglue-black/"",""image_url"":""https://daluawholesale.com.au/wp-content/uploads/2026/06/scapeglue-kit-wio.png""},{""source_title"":""WIO Scapeglue (Grey)"",""proposed_option"":""Grey"",""cost_plus_gst"":""24.60"",""markdown_plus_gst"":""19.65"",""source_url"":""https://daluawholesale.com.au/product/wio-scapeglue-grey/"",""image_url"":""https://daluawholesale.com.au/wp-content/uploads/2026/06/scapeglue-kit-wio.png""},{""source_title"":""WIO Scapeglue (Pale)"",""proposed_option"":""Pale"",""cost_plus_gst"":""24.60"",""markdown_plus_gst"":""19.65"",""source_url"":""https://daluawholesale.com.au/product/wio-scapeglue-pale/"",""image_url"":""https://daluawholesale.com.au/wp-content/uploads/2026/06/scapeglue-kit-wio.png""},{""source_title"":""WIO Scapeglue (Yellow)"",""proposed_option"":""Yellow"",""cost_plus_gst"":""24.60"",""markdown_plus_gst"":""19.65"",""source_url"":""https://daluawholesale.com.au/product/wio-scapeglue-yellow/"",""image_url"":""https://daluawholesale.com.au/wp-content/uploads/2026/06/scapeglue-kit-wio.png""},{""source_title"":""WIO Scapeglue (Red)"",""proposed_option"":""Red"",""cost_plus_gst"":""24.60"",""markdown_plus_gst"":""19.65"",""source_url"":""https://daluawholesale.com.au/product/wio-scapeglue-red/"",""image_url"":""https://daluawholesale.com.au/wp-content/uploads/2026/06/scapeglue-kit-wio.png""}]",safe_for_shopify_duplicate_audit
wio tan savage riverbed,2,Wio Tan Savage Riverbed,"[{""source_title"":""WIO Tan Savage Riverbed 5kg"",""proposed_option"":""5kg"",""cost_plus_gst"":""51.30"",""markdown_plus_gst"":""38.48"",""source_url"":""https://daluawholesale.com.au/product/wio-tan-savage-riverbed-5kg/"",""image_url"":""https://daluawholesale.com.au/wp-content/uploads/2025/10/wio_riverbeds_savage_detail.png""},{""source_title"":""WIO Tan Savage Riverbed 2kg"",""proposed_option"":""2kg"",""cost_plus_gst"":""26.66"",""markdown_plus_gst"":""20.00"",""source_url"":""https://daluawholesale.com.au/product/wio-tan-savage-riverbed-2kg/"",""image_url"":""https://daluawholesale.com.au/wp-content/uploads/2025/10/wio_riverbeds_savage_detail.png""}]",safe_for_shopify_duplicate_audit
wio terra artist florabed,2,Wio Terra Artist Florabed,"[{""source_title"":""WIO Terra Artist Florabed 3kg"",""proposed_option"":""3kg"",""cost_plus_gst"":""36.64"",""markdown_plus_gst"":""27.48"",""source_url"":""https://daluawholesale.com.au/product/wio-terra-artist-florabed-3kg/"",""image_url"":""https://daluawholesale.com.au/wp-content/uploads/2025/01/5f6902_e3b5640610df4d22a1140bb3ed857778mv2.webp""},{""source_title"":""WIO Terra Artist Florabed 1.5kg"",""proposed_option"":""1.5kg"",""cost_plus_gst"":""19.99"",""markdown_plus_gst"":""14.99"",""source_url"":""https://daluawholesale.com.au/product/wio-terra-artist-florabed-1-5kg/"",""image_url"":""https://daluawholesale.com.au/wp-content/uploads/2025/01/5f6902_e3b5640610df4d22a1140bb3ed857778mv2.webp""}]",safe_for_shopify_duplicate_audit
wio terra artist florabed fine,2,Wio Terra Artist Florabed Fine,"[{""source_title"":""WIO Terra Artist Florabed *Fine* 3kg"",""proposed_option"":""3kg / Fine"",""cost_plus_gst"":""40.29"",""markdown_plus_gst"":""30.22"",""source_url"":""https://daluawholesale.com.au/product/wio-terra-artist-florabed-fine-3kg/"",""image_url"":""https://daluawholesale.com.au/wp-content/uploads/2025/01/terra-fine-soil.png""},{""source_title"":""WIO Terra Artist Florabed *Fine* 1.5kg"",""proposed_option"":""1.5kg / Fine"",""cost_plus_gst"":""21.99"",""markdown_plus_gst"":""16.49"",""source_url"":""https://daluawholesale.com.au/product/wio-terra-artist-florabed-fine-1-5kg/"",""image_url"":""https://daluawholesale.com.au/wp-content/uploads/2025/01/terra-fine-soil.png""}]",safe_for_shopify_duplicate_audit
